Data;Valor
2001/07/01;0.876
2001/08/01;0.868
2001/09/01;0.869
2001/10/01;0.880
2001/11/01;0.876
2001/12/01;0.876
2002/01/01;0.872
2002/02/01;0.867
2002/03/01;0.865
2002/04/01;0.868
2002/05/01;0.863
2002/06/01;0.845
2002/07/01;0.767
2002/08/01;0.746
2002/09/01;0.796
2002/10/01;0.898
2002/11/01;1.167
2002/12/01;1.166
2003/01/01;1.273
2003/02/01;1.441
2003/03/01;1.418
2003/04/01;1.365
2003/05/01;1.292
2003/06/01;1.057
2003/07/01;0.920
2003/08/01;0.964
2003/09/01;0.994
2003/10/01;0.954
2003/11/01;0.943
2003/12/01;0.965
2004/01/01;0.967
2004/02/01;0.898
2004/03/01;0.747
2004/04/01;0.761
2004/05/01;0.800
2004/06/01;0.897
2004/07/01;0.927
2004/08/01;1.025
2004/09/01;1.035
2004/10/01;1.136
2004/11/01;1.251
2004/12/01;1.262
2005/01/01;1.241
2005/02/01;1.226
2005/03/01;1.218
2005/04/01;1.215
2005/05/01;1.108
2005/06/01;0.985
2005/07/01;1.052
2005/08/01;1.070
2005/09/01;1.124
2005/10/01;1.263
2005/11/01;1.277
2005/12/01;1.376
2006/01/01;1.521
2006/02/01;1.555
2006/03/01;1.790
2006/04/01;1.734
2006/05/01;1.449
2006/06/01;1.313
2006/07/01;1.355
2006/08/01;1.365
2006/09/01;1.290
2006/10/01;1.232
2006/11/01;1.216
2006/12/01;1.230
2007/01/01;1.383
2007/02/01;1.379
2007/03/01;1.376
2007/04/01;1.470
2007/05/01;1.469
2007/06/01;1.298
2007/07/01;1.170
2007/08/01;1.108
2007/09/01;1.081
2007/10/01;1.067
2007/11/01;1.187
2007/12/01;1.293
2008/01/01;1.286
2008/02/01;1.244
2008/03/01;1.270
2008/04/01;1.269
2008/05/01;1.274
2008/06/01;1.240
2008/07/01;1.241
2008/08/01;1.247
2008/09/01;1.273
2008/10/01;1.307
2008/11/01;1.316
2008/12/01;1.314
2009/01/01;1.312
2009/02/01;1.343
2009/03/01;1.310
2009/04/01;1.245
2009/05/01;1.206
2009/06/01;1.141
2009/07/01;1.188
2009/08/01;1.226
2009/09/01;1.307
2009/10/01;1.495
2009/11/01;1.545
2009/12/01;1.588
2010/01/01;1.799
2010/02/01;1.823
2010/03/01;1.603
2010/04/01;1.476
2010/05/01;1.346
2010/06/01;1.278
2010/07/01;1.333
2010/08/01;1.395
2010/09/01;1.417
2010/10/01;1.549
2010/11/01;1.595
2010/12/01;1.674
2011/01/01;1.733
2011/02/01;1.757
2011/03/01;1.999
2011/04/01;2.160
2011/05/01;1.844
2011/06/01;1.704
2011/07/01;1.799
2011/08/01;1.814
2011/09/01;1.885
2011/10/01;1.866
2011/11/01;1.899
2011/12/01;1.925
2012/01/01;1.888
2012/02/01;1.818
2012/03/01;1.851
2012/04/01;1.873
2012/05/01;1.842
2012/06/01;1.805
2012/07/01;1.771
2012/08/01;1.747
2012/09/01;1.751
2012/10/01;1.753
2012/11/01;1.759
2012/12/01;1.813

