Data;Valor
2007/01/01;357959.00
2007/02/01;369452.00
2007/03/01;400171.00
2007/04/01;98883.00
2007/05/01;790309.00
2007/06/01;3263531.00
2007/07/01;2978036.00
2007/08/01;4355837.00
2007/09/01;596873.00
2007/10/01;274379.00
2007/11/01;411464.00
2007/12/01;293982.00
2008/01/01;104958.00
2008/02/01;180590.00
2008/03/01;84755.00
2008/04/01;20752.00
2008/05/01;708245.00
2008/06/01;2972283.00
2008/07/01;4930194.00
2008/08/01;5639650.00
2008/09/01;700652.00
2008/10/01;90723.00
2008/11/01;294284.00
2008/12/01;275059.00
2009/01/01;119253.00
2009/02/01;62047.00
2009/03/01;18696.00
2009/04/01;121950.00
2009/05/01;653339.00
2009/06/01;3253413.00
2009/07/01;3717800.00
2009/08/01;4626479.00
2009/09/01;1638142.00
2009/10/01;141339.00
2009/11/01;160331.00
2009/12/01;221199.00
2010/01/01;130183.00
2010/02/01;156462.00
2010/03/01;98624.00
2010/04/01;755433.00
2010/05/01;467298.00
2010/06/01;2744475.00
2010/07/01;4036415.00
2010/08/01;2816884.00
2010/09/01;1303485.00
2010/10/01;289743.00
2010/11/01;367481.00
2010/12/01;328935.00
2011/01/01;83139.00
2011/02/01;146042.00
2011/03/01;22540.00
2011/04/01;25131.00
2011/05/01;697905.00
2011/06/01;5046496.00
2011/07/01;3563898.00
2011/08/01;4960901.00
2011/09/01;1029471.00
2011/10/01;337870.00
2011/11/01;366308.00
2011/12/01;309842.00
2012/01/01;14896.00
2012/02/01;71030.00
2012/03/01;62244.00
2012/04/01;456610.00
2012/05/01;1272392.00
2012/06/01;2205416.00
2012/07/01;4690240.00
2012/08/01;4605099.00
2012/09/01;351518.00
2012/10/01;737419.00
2012/11/01;191387.00
2012/12/01;13976.00
2013/01/01;270454.00
2013/02/01;77171.00
2013/03/01;49753.00
2013/04/01;306094.00
2013/05/01;1373062.00
2013/06/01;1807069.00
2013/07/01;3617066.00
2013/08/01;3626256.00
2013/09/01;451414.00
2013/10/01;468999.00
2013/11/01;489973.00
2013/12/01;446861.00
2014/01/01;127758.00
2014/02/01;30005.00
2014/03/01;71155.00
2014/04/01;97825.00
2014/05/01;1344686.00
2014/06/01;2743841.00
2014/07/01;4525283.00
2014/08/01;3102405.00
2014/09/01;542289.00
2014/10/01;1161594.00
2014/11/01;401941.00
2014/12/01;225589.00
2015/01/01;38407.00
2015/02/01;57234.00
2015/03/01;341009.00
2015/04/01;308811.00
2015/05/01;581695.00
2015/06/01;1979751.00
2015/07/01;2275515.00
2015/08/01;2478491.00
2015/09/01;464989.00
2015/10/01;378262.00
2015/11/01;580739.00
2015/12/01;163613.00
2016/01/01;177387.00
2016/02/01;139792.00
2016/03/01;108146.00
2016/04/01;123370.00
2016/05/01;897761.00
2016/06/01;1254740.00
2016/07/01;1502057.00
2016/08/01;1756699.00
2016/09/01;439888.00
2016/10/01;155397.00
2016/11/01;243174.00
2016/12/01;69872.00
2017/01/01;59787.00
2017/02/01;82353.00
2017/03/01;69349.00
2017/04/01;246949.00
2017/05/01;357150.00
2017/06/01;1749839.00
2017/07/01;1728194.00
