Data;Valor
2007/01/01;235809426.00
2007/02/01;259648964.00
2007/03/01;364406233.00
2007/04/01;336200113.00
2007/05/01;363002836.00
2007/06/01;355868763.00
2007/07/01;370137403.00
2007/08/01;391735837.00
2007/09/01;312156116.00
2007/10/01;405555980.00
2007/11/01;405394043.00
2007/12/01;417551277.00
2008/01/01;379810150.00
2008/02/01;420966270.00
2008/03/01;463918209.00
2008/04/01;406928105.00
2008/05/01;582628352.00
2008/06/01;539285853.00
2008/07/01;589175228.00
2008/08/01;605361984.00
2008/09/01;578344782.00
2008/10/01;538131046.00
2008/11/01;358712185.00
2008/12/01;358715267.00
2009/01/01;336609737.00
2009/02/01;294096218.00
2009/03/01;356692930.00
2009/04/01;424218573.00
2009/05/01;381080960.00
2009/06/01;458446654.00
2009/07/01;448449475.00
2009/08/01;409460122.00
2009/09/01;409944970.00
2009/10/01;464465647.00
2009/11/01;373433081.00
2009/12/01;460859729.00
2010/01/01;333492815.00
2010/02/01;404466282.00
2010/03/01;495661603.00
2010/04/01;449987918.00
2010/05/01;470451499.00
2010/06/01;509089268.00
2010/07/01;543400603.00
2010/08/01;525669900.00
2010/09/01;519386348.00
2010/10/01;490720498.00
2010/11/01;518687909.00
2010/12/01;528258303.00
2011/01/01;504789044.00
2011/02/01;502334618.00
2011/03/01;601200279.00
2011/04/01;573426296.00
2011/05/01;624121585.00
2011/06/01;636388761.00
2011/07/01;555501639.00
2011/08/01;590480328.00
2011/09/01;567704588.00
2011/10/01;635662182.00
2011/11/01;701141924.00
2011/12/01;694863823.00
2012/01/01;575505724.00
2012/02/01;505814214.00
2012/03/01;682552445.00
2012/04/01;600715122.00
2012/05/01;664511637.00
2012/06/01;540235334.00
2012/07/01;522901663.00
2012/08/01;554875344.00
2012/09/01;606120661.00
2012/10/01;666472402.00
2012/11/01;607292538.00
2012/12/01;684204699.00
2013/01/01;544504367.00
2013/02/01;582791953.00
2013/03/01;682176507.00
2013/04/01;714159843.00
2013/05/01;711093425.00
2013/06/01;616350578.00
2013/07/01;630885018.00
2013/08/01;594399021.00
2013/09/01;545960160.00
2013/10/01;630571565.00
2013/11/01;625687648.00
2013/12/01;577347603.00
2014/01/01;515068380.00
2014/02/01;501134426.00
2014/03/01;570462388.00
2014/04/01;628843479.00
2014/05/01;653351727.00
2014/06/01;601455618.00
2014/07/01;711184318.00
2014/08/01;616816657.00
2014/09/01;670291534.00
2014/10/01;686046318.00
2014/11/01;606953870.00
2014/12/01;606591784.00
2015/01/01;449760563.00
2015/02/01;471117959.00
2015/03/01;536461142.00
2015/04/01;516191268.00
2015/05/01;534222819.00
2015/06/01;660575607.00
2015/07/01;720762590.00
2015/08/01;600373471.00
2015/09/01;548325594.00
2015/10/01;480129400.00
2015/11/01;549568869.00
2015/12/01;562906213.00
2016/01/01;411311860.00
2016/02/01;419978218.00
2016/03/01;546896028.00
2016/04/01;567362141.00
2016/05/01;564434256.00
2016/06/01;639788220.00
2016/07/01;550551965.00
2016/08/01;569518102.00
2016/09/01;605156438.00
2016/10/01;463494576.00
2016/11/01;486908035.00
2016/12/01;534932301.00
2017/01/01;559895575.00
2017/02/01;534292859.00
2017/03/01;612083254.00
2017/04/01;514451582.00
2017/05/01;560005995.00
2017/06/01;587972088.00
2017/07/01;580852190.00

