Data;Valor
2007/01/01;1993119,00
2007/02/01;2708752,00
2007/03/01;2562419,00
2007/04/01;3606561,00
2007/05/01;4740297,00
2007/06/01;4027977,00
2007/07/01;4182896,00
2007/08/01;4632277,00
2007/09/01;4063273,00
2007/10/01;4504806,00
2007/11/01;2837241,00
2007/12/01;5190499,00
2008/01/01;2603472,00
2008/02/01;4559111,00
2008/03/01;3654902,00
2008/04/01;5007652,00
2008/05/01;6450984,00
2008/06/01;6803236,00
2008/07/01;8803044,00
2008/08/01;7193731,00
2008/09/01;8866581,00
2008/10/01;10059116,00
2008/11/01;4736225,00
2008/12/01;5114653,00
2009/01/01;1857124,00
2009/02/01;4822560,00
2009/03/01;5099154,00
2009/04/01;3200145,00
2009/05/01;3037767,00
2009/06/01;3575973,00
2009/07/01;3569601,00
2009/08/01;3280991,00
2009/09/01;2805606,00
2009/10/01;3417671,00
2009/11/01;3409298,00
2009/12/01;3956161,00
2010/01/01;2216014,00
2010/02/01;4218847,00
2010/03/01;3549540,00
2010/04/01;3733063,00
2010/05/01;4093953,00
2010/06/01;4612373,00
2010/07/01;6094857,00
2010/08/01;5553473,00
2010/09/01;6167003,00
2010/10/01;8007665,00
2010/11/01;5232368,00
2010/12/01;4672976,00
2011/01/01;3832921,00
2011/02/01;3662190,00
2011/03/01;4755195,00
2011/04/01;5279954,00
2011/05/01;8604006,00
2011/06/01;7078816,00
2011/07/01;5047769,00
2011/08/01;9977782,00
2011/09/01;29188076,00
2011/10/01;27601309,00
2011/11/01;7646435,00
2011/12/01;5426838,00
2012/01/01;7215275,00
2012/02/01;9797222,00
2012/03/01;11575022,00
2012/04/01;8669985,00
2012/05/01;13475357,00
2012/06/01;11393539,00
2012/07/01;10192485,00
2012/08/01;11624170,00
2012/09/01;8113046,00
2012/10/01;11487687,00
2012/11/01;6689492,00
2012/12/01;13124356,00
2013/01/01;4745724,00
2013/02/01;13323733,00
2013/03/01;10425017,00
2013/04/01;10354946,00
2013/05/01;9188286,00
2013/06/01;7949759,00
2013/07/01;12940604,00
2013/08/01;9942828,00
2013/09/01;8665709,00
2013/10/01;8602974,00
2013/11/01;10340901,00
2013/12/01;11753272,00
2014/01/01;10495671,00
2014/02/01;21417861,00
2014/03/01;13202287,00
2014/04/01;8829825,00
2014/05/01;6208893,00
2014/06/01;7134376,00
2014/07/01;8120141,00
2014/08/01;6858708,00
2014/09/01;8414454,00
2014/10/01;9026153,00
2014/11/01;7351980,00
2014/12/01;6552203,00
2015/01/01;3848756,00
2015/02/01;5756382,00
2015/03/01;11714830,00
2015/04/01;6814104,00
2015/05/01;4811101,00
2015/06/01;5457553,00
2015/07/01;4157685,00
2015/08/01;4074136,00
2015/09/01;3382528,00
2015/10/01;4626900,00
2015/11/01;2516034,00
2015/12/01;7356818,00
2016/01/01;1808652,00
2016/02/01;2708766,00
2016/03/01;2871582,00
2016/04/01;4389742,00
2016/05/01;6154557,00
2016/06/01;6056917,00
2016/07/01;4292228,00
2016/08/01;3867539,00
2016/09/01;3602065,00
2016/10/01;4568958,00
2016/11/01;4030653,00
2016/12/01;5470601,00
2017/01/01;2532917,00
2017/02/01;6165665,00
2017/03/01;7068378,00
2017/04/01;6730574,00
2017/05/01;5121536,00
2017/06/01;5553140,00
2017/07/01;9162585,00

