Data;Valor
2007/01/01;577034.00
2007/02/01;779444.00
2007/03/01;1249524.00
2007/04/01;1029031.00
2007/05/01;1406698.00
2007/06/01;1519301.00
2007/07/01;1896231.00
2007/08/01;1057595.00
2007/09/01;970301.00
2007/10/01;1388108.00
2007/11/01;809691.00
2007/12/01;1155318.00
2008/01/01;1004725.00
2008/02/01;897186.00
2008/03/01;1479801.00
2008/04/01;2109159.00
2008/05/01;1454475.00
2008/06/01;1419865.00
2008/07/01;1533664.00
2008/08/01;1379119.00
2008/09/01;1328438.00
2008/10/01;1528672.00
2008/11/01;969672.00
2008/12/01;1314202.00
2009/01/01;647354.00
2009/02/01;1027635.00
2009/03/01;1470073.00
2009/04/01;1448296.00
2009/05/01;1511965.00
2009/06/01;1593999.00
2009/07/01;1552195.00
2009/08/01;1235680.00
2009/09/01;1483268.00
2009/10/01;1476638.00
2009/11/01;1022201.00
2009/12/01;1116274.00
2010/01/01;787806.00
2010/02/01;1038412.00
2010/03/01;1108922.00
2010/04/01;1624469.00
2010/05/01;1615512.00
2010/06/01;1702312.00
2010/07/01;1119594.00
2010/08/01;1838074.00
2010/09/01;1323433.00
2010/10/01;1230123.00
2010/11/01;1158970.00
2010/12/01;1406820.00
2011/01/01;712178.00
2011/02/01;955689.00
2011/03/01;1030908.00
2011/04/01;1454586.00
2011/05/01;2395429.00
2011/06/01;2350135.00
2011/07/01;1497994.00
2011/08/01;1419792.00
2011/09/01;1344496.00
2011/10/01;1364741.00
2011/11/01;1474141.00
2011/12/01;1286639.00
2012/01/01;793745.00
2012/02/01;840597.00
2012/03/01;1587618.00
2012/04/01;1042699.00
2012/05/01;1706249.00
2012/06/01;1268613.00
2012/07/01;2151964.00
2012/08/01;1224860.00
2012/09/01;906929.00
2012/10/01;1318679.00
2012/11/01;1134944.00
2012/12/01;1016230.00
2013/01/01;854452.00
2013/02/01;1335478.00
2013/03/01;1760113.00
2013/04/01;1540073.00
2013/05/01;1419053.00
2013/06/01;1378481.00
2013/07/01;1331245.00
2013/08/01;1511383.00
2013/09/01;1685302.00
2013/10/01;1371094.00
2013/11/01;1070923.00
2013/12/01;1341171.00
2014/01/01;1133095.00
2014/02/01;1550041.00
2014/03/01;1527843.00
2014/04/01;2263031.00
2014/05/01;1872443.00
2014/06/01;2313704.00
2014/07/01;1412361.00
2014/08/01;1541905.00
2014/09/01;1150219.00
2014/10/01;1713337.00
2014/11/01;885858.00
2014/12/01;971955.00
2015/01/01;884447.00
2015/02/01;628792.00
2015/03/01;827752.00
2015/04/01;1638967.00
2015/05/01;1337309.00
2015/06/01;1276535.00
2015/07/01;1736611.00
2015/08/01;976671.00
2015/09/01;1024895.00
2015/10/01;945610.00
2015/11/01;973574.00
2015/12/01;1069521.00
2016/01/01;425790.00
2016/02/01;830275.00
2016/03/01;1501305.00
2016/04/01;1754129.00
2016/05/01;1482785.00
2016/06/01;1014752.00
2016/07/01;1612947.00
2016/08/01;1268325.00
2016/09/01;1252544.00
2016/10/01;841072.00
2016/11/01;771860.00
2016/12/01;1180426.00
2017/01/01;981802.00
2017/02/01;1220057.00
2017/03/01;1291305.00
2017/04/01;837036.00
2017/05/01;1658096.00
2017/06/01;1291612.00
2017/07/01;1452255.00

