Data;Valor
2007/01/01;308482499,00
2007/02/01;309343550,00
2007/03/01;328733161,00
2007/04/01;295636123,00
2007/05/01;299486276,00
2007/06/01;288191969,00
2007/07/01;289545385,00
2007/08/01;319190946,00
2007/09/01;309815920,00
2007/10/01;403785206,00
2007/11/01;394074510,00
2007/12/01;345248920,00
2008/01/01;335564505,00
2008/02/01;369597191,00
2008/03/01;377528562,00
2008/04/01;383839559,00
2008/05/01;325304759,00
2008/06/01;320551731,00
2008/07/01;334378177,00
2008/08/01;380963147,00
2008/09/01;495256563,00
2008/10/01;523695680,00
2008/11/01;476987432,00
2008/12/01;439401345,00
2009/01/01;315380811,00
2009/02/01;340170592,00
2009/03/01;344768925,00
2009/04/01;336850319,00
2009/05/01;298973626,00
2009/06/01;353180198,00
2009/07/01;306215498,00
2009/08/01;374417767,00
2009/09/01;398401294,00
2009/10/01;396773693,00
2009/11/01;403182725,00
2009/12/01;410624927,00
2010/01/01;358954574,00
2010/02/01;366557490,00
2010/03/01;434943741,00
2010/04/01;399273089,00
2010/05/01;368691805,00
2010/06/01;343333519,00
2010/07/01;405548620,00
2010/08/01;531158692,00
2010/09/01;587037763,00
2010/10/01;642719069,00
2010/11/01;633474761,00
2010/12/01;692926985,00
2011/01/01;595417031,00
2011/02/01;633513644,00
2011/03/01;704050992,00
2011/04/01;662850769,00
2011/05/01;714155333,00
2011/06/01;650696473,00
2011/07/01;550285184,00
2011/08/01;789500925,00
2011/09/01;847079870,00
2011/10/01;884855773,00
2011/11/01;865670662,00
2011/12/01;834760244,00
2012/01/01;605211317,00
2012/02/01;583710578,00
2012/03/01;570506163,00
2012/04/01;493954870,00
2012/05/01;495270447,00
2012/06/01;422661200,00
2012/07/01;437366240,00
2012/08/01;539380600,00
2012/09/01;478819902,00
2012/10/01;638744033,00
2012/11/01;588378268,00
2012/12/01;608652928,00
2013/01/01;526516467,00
2013/02/01;416629297,00
2013/03/01;485990763,00
2013/04/01;497224364,00
2013/05/01;455295859,00
2013/06/01;394707041,00
2013/07/01;352783014,00
2013/08/01;406789880,00
2013/09/01;422723565,00
2013/10/01;486537046,00
2013/11/01;424740663,00
2013/12/01;405780997,00
2014/01/01;391421811,00
2014/02/01;408474512,00
2014/03/01;451693821,00
2014/04/01;554116945,00
2014/05/01;552767341,00
2014/06/01;551866760,00
2014/07/01;582686699,00
2014/08/01;567915915,00
2014/09/01;614296480,00
2014/10/01;692295634,00
2014/11/01;613109003,00
2014/12/01;681228473,00
2015/01/01;589036755,00
2015/02/01;540035913,00
2015/03/01;575296904,00
2015/04/01;525221458,00
2015/05/01;483859813,00
2015/06/01;449591068,00
2015/07/01;461010185,00
2015/08/01;477197497,00
2015/09/01;507078885,00
2015/10/01;552403119,00
2015/11/01;498330497,00
2015/12/01;499677625,00
2016/01/01;403561344,00
2016/02/01;447542783,00
2016/03/01;454820911,00
2016/04/01;371398913,00
2016/05/01;361418581,00
2016/06/01;353979184,00
2016/07/01;323032911,00
2016/08/01;476813900,00
2016/09/01;516284063,00
2016/10/01;571072600,00
2016/11/01;591213842,00
2016/12/01;600741217,00
2017/01/01;464484763,00
2017/02/01;458861677,00
2017/03/01;509458016,00
2017/04/01;383911158,00
2017/05/01;442515279,00
2017/06/01;368964041,00
2017/07/01;309243361,00

