Data;Valor
2007/01/01;176601526.00
2007/02/01;173816556.00
2007/03/01;202027031.00
2007/04/01;187924209.00
2007/05/01;199336950.00
2007/06/01;180358178.00
2007/07/01;161763498.00
2007/08/01;188394096.00
2007/09/01;156422657.00
2007/10/01;200433093.00
2007/11/01;175121955.00
2007/12/01;191731435.00
2008/01/01;183489682.00
2008/02/01;176804322.00
2008/03/01;172353551.00
2008/04/01;183046397.00
2008/05/01;182136134.00
2008/06/01;177363246.00
2008/07/01;142436390.00
2008/08/01;164742347.00
2008/09/01;149867916.00
2008/10/01;148324616.00
2008/11/01;103489458.00
2008/12/01;96119260.00
2009/01/01;73639871.00
2009/02/01;74716016.00
2009/03/01;79707254.00
2009/04/01;81211341.00
2009/05/01;90300157.00
2009/06/01;95894238.00
2009/07/01;93160822.00
2009/08/01;96539914.00
2009/09/01;105906470.00
2009/10/01;121971852.00
2009/11/01;115263196.00
2009/12/01;132458756.00
2010/01/01;104412561.00
2010/02/01;130932097.00
2010/03/01;160514324.00
2010/04/01;160093235.00
2010/05/01;158011426.00
2010/06/01;165683449.00
2010/07/01;143911821.00
2010/08/01;154783037.00
2010/09/01;127696993.00
2010/10/01;137149578.00
2010/11/01;138468143.00
2010/12/01;161066130.00
2011/01/01;141071929.00
2011/02/01;161670019.00
2011/03/01;191070719.00
2011/04/01;190178750.00
2011/05/01;204938976.00
2011/06/01;167154191.00
2011/07/01;148701297.00
2011/08/01;191188847.00
2011/09/01;163213359.00
2011/10/01;166628930.00
2011/11/01;158777797.00
2011/12/01;161158366.00
2012/01/01;139608825.00
2012/02/01;151016053.00
2012/03/01;173720629.00
2012/04/01;175329656.00
2012/05/01;196274298.00
2012/06/01;180817966.00
2012/07/01;160546412.00
2012/08/01;192572802.00
2012/09/01;162054445.00
2012/10/01;184524973.00
2012/11/01;175829203.00
2012/12/01;186724872.00
2013/01/01;164851775.00
2013/02/01;188854582.00
2013/03/01;191490428.00
2013/04/01;218438118.00
2013/05/01;229300826.00
2013/06/01;197891256.00
2013/07/01;197637221.00
2013/08/01;207903682.00
2013/09/01;221822623.00
2013/10/01;236907943.00
2013/11/01;215370206.00
2013/12/01;240090313.00
2014/01/01;201955062.00
2014/02/01;250080891.00
2014/03/01;252555510.00
2014/04/01;255794019.00
2014/05/01;258811356.00
2014/06/01;245982679.00
2014/07/01;249027142.00
2014/08/01;266641017.00
2014/09/01;256220346.00
2014/10/01;249256035.00
2014/11/01;206548104.00
2014/12/01;255067942.00
2015/01/01;183245063.00
2015/02/01;195358092.00
2015/03/01;255658489.00
2015/04/01;206183285.00
2015/05/01;205760895.00
2015/06/01;196291744.00
2015/07/01;184167415.00
2015/08/01;169860490.00
2015/09/01;169406801.00
2015/10/01;158261786.00
2015/11/01;144585293.00
2015/12/01;196562992.00
2016/01/01;152457576.00
2016/02/01;196164757.00
2016/03/01;185618974.00
2016/04/01;175733288.00
2016/05/01;174671852.00
2016/06/01;160948755.00
2016/07/01;159222548.00
2016/08/01;178477074.00
2016/09/01;150781284.00
2016/10/01;161869979.00
2016/11/01;155721169.00
2016/12/01;180873621.00
2017/01/01;150594324.00
2017/02/01;161129516.00
2017/03/01;192569383.00
2017/04/01;161555809.00
2017/05/01;189315708.00
2017/06/01;148251810.00
2017/07/01;149155419.00

