Data;Valor
2007/01/01;6860056.00 
2007/02/01;7297012.00 
2007/03/01;8981812.00 
2007/04/01;7069679.00 
2007/05/01;9586598.00 
2007/06/01;10895956.00 
2007/07/01;9125504.00 
2007/08/01;9281231.00 
2007/09/01;10436806.00 
2007/10/01;12354858.00 
2007/11/01;7228271.00 
2007/12/01;9716207.00 
2008/01/01;9843542.00 
2008/02/01;7223839.00 
2008/03/01;7277569.00 
2008/04/01;5741780.00 
2008/05/01;7519648.00 
2008/06/01;7080048.00 
2008/07/01;8232026.00 
2008/08/01;6649496.00 
2008/09/01;7625968.00 
2008/10/01;7379905.00 
2008/11/01;6361237.00 
2008/12/01;7576971.00 
2009/01/01;6008431.00 
2009/02/01;5236548.00 
2009/03/01;6152252.00 
2009/04/01;4507374.00 
2009/05/01;5184072.00 
2009/06/01;6400708.00 
2009/07/01;7164036.00 
2009/08/01;8902937.00 
2009/09/01;7709822.00 
2009/10/01;7269134.00 
2009/11/01;8555858.00 
2009/12/01;8614715.00 
2010/01/01;5706537.00 
2010/02/01;6234633.00 
2010/03/01;6940777.00 
2010/04/01;6067439.00 
2010/05/01;7096425.00 
2010/06/01;6420167.00 
2010/07/01;10305334.00 
2010/08/01;9895872.00 
2010/09/01;7750701.00 
2010/10/01;10841968.00 
2010/11/01;9554542.00 
2010/12/01;9772082.00 
2011/01/01;7192180.00 
2011/02/01;5952623.00 
2011/03/01;6904585.00 
2011/04/01;6298915.00 
2011/05/01;6939891.00 
2011/06/01;11735905.00 
2011/07/01;14241177.00 
2011/08/01;12516415.00 
2011/09/01;10578302.00 
2011/10/01;8598212.00 
2011/11/01;10545494.00 
2011/12/01;13447735.00 
2012/01/01;7609623.00 
2012/02/01;5501801.00 
2012/03/01;10000833.00 
2012/04/01;10449778.00 
2012/05/01;14769539.00 
2012/06/01;10779628.00 
2012/07/01;14723793.00 
2012/08/01;10416208.00 
2012/09/01;11979141.00 
2012/10/01;9701271.00 
2012/11/01;11499068.00 
2012/12/01;12705303.00 
2013/01/01;9717460.00 
2013/02/01;8470943.00 
2013/03/01;8032630.00 
2013/04/01;7552108.00 
2013/05/01;8978502.00 
2013/06/01;13140163.00 
2013/07/01;11656378.00 
2013/08/01;13803355.00 
2013/09/01;8708506.00 
2013/10/01;11432158.00 
2013/11/01;11757915.00 
2013/12/01;9202204.00 
2014/01/01;7934842.00 
2014/02/01;8073692.00 
2014/03/01;7246880.00 
2014/04/01;7376002.00 
2014/05/01;6625215.00 
2014/06/01;10152353.00 
2014/07/01;11121972.00 
2014/08/01;11222567.00 
2014/09/01;11841845.00 
2014/10/01;11126142.00 
2014/11/01;11094023.00 
2014/12/01;13824599.00 
2015/01/01;9183690.00 
2015/02/01;7453056.00 
2015/03/01;9300215.00 
2015/04/01;9354522.00 
2015/05/01;9978845.00 
2015/06/01;10383808.00 
2015/07/01;14523498.00 
2015/08/01;12019625.00 
2015/09/01;11884938.00 
2015/10/01;10765172.00 
2015/11/01;12644249.00 
2015/12/01;15439324.00 
2016/01/01;10956439.00 
2016/02/01;10966639.00 
2016/03/01;12191241.00 
2016/04/01;11235651.00 
2016/05/01;12060601.00 
2016/06/01;15368955.00 
2016/07/01;15647941.00 
2016/08/01;14389136.00 
2016/09/01;13996604.00 
2016/10/01;12930508.00 
2016/11/01;12335178.00 
2016/12/01;14686548.00 
2017/01/01;11686151.00 
2017/02/01;12576503.00 
2017/03/01;13423447.00 
2017/04/01;9954020.00 
2017/05/01;9948015.00 
2017/06/01;12271493.00 
2017/07/01;11720316.00 

