Data;Valor
2007/01/01;348415993.00
2007/02/01;400456716.00
2007/03/01;911642393.00
2007/04/01;1204268306.00
2007/05/01;1294274100.00
2007/06/01;1231823131.00
2007/07/01;1324978196.00
2007/08/01;1281602594.00
2007/09/01;967230276.00
2007/10/01;1213768786.00
2007/11/01;633335297.00
2007/12/01;569663502.00
2008/01/01;703407450.00
2008/02/01;562875776.00
2008/03/01;972518913.00
2008/04/01;1859059999.00
2008/05/01;2746546140.00
2008/06/01;2186088947.00
2008/07/01;2829084777.00
2008/08/01;1845953799.00
2008/09/01;1621360871.00
2008/10/01;1162674985.00
2008/11/01;799739555.00
2008/12/01;689886285.00
2009/01/01;639579601.00
2009/02/01;496465495.00
2009/03/01;1370305575.00
2009/04/01;2086733580.00
2009/05/01;2317806303.00
2009/06/01;3255984817.00
2009/07/01;2204408960.00
2009/08/01;1929768544.00
2009/09/01;1353223643.00
2009/10/01;769295548.00
2009/11/01;428515398.00
2009/12/01;387620988.00
2010/01/01;316285094.00
2010/02/01;582831996.00
2010/03/01;1621736799.00
2010/04/01;2246043981.00
2010/05/01;2655591112.00
2010/06/01;2134266547.00
2010/07/01;2186315827.00
2010/08/01;1660773055.00
2010/09/01;1444552837.00
2010/10/01;984405560.00
2010/11/01;684947934.00
2010/12/01;589297354.00
2011/01/01;598663006.00
2011/02/01;517118013.00
2011/03/01;2047950088.00
2011/04/01;3048842829.00
2011/05/01;3373652324.00
2011/06/01;3123182237.00
2011/07/01;2547507565.00
2011/08/01;2550166495.00
2011/09/01;2212881036.00
2011/10/01;1395439960.00
2011/11/01;1535730490.00
2011/12/01;1188286218.00
2012/01/01;953211761.00
2012/02/01;1188269329.00
2012/03/01;2687262745.00
2012/04/01;2901342667.00
2012/05/01;4896864473.00
2012/06/01;3308824565.00
2012/07/01;3145511927.00
2012/08/01;2339803306.00
2012/09/01;1765902837.00
2012/10/01;1462880722.00
2012/11/01;847631041.00
2012/12/01;616621421.00
2013/01/01;372733292.00
2013/02/01;911150868.00
2013/03/01;2375108205.00
2013/04/01;4526643380.00
2013/05/01;4944393073.00
2013/06/01;4183184319.00
2013/07/01;3950653409.00
2013/08/01;3621451198.00
2013/09/01;2742506217.00
2013/10/01;1563176418.00
2013/11/01;1157080856.00
2013/12/01;613184847.00
2014/01/01;585430553.00
2014/02/01;1690928880.00
2014/03/01;3623873364.00
2014/04/01;4954196673.00
2014/05/01;4722071592.00
2014/06/01;4624356226.00
2014/07/01;3939368251.00
2014/08/01;3111319549.00
2014/09/01;1991440837.00
2014/10/01;983114762.00
2014/11/01;631225543.00
2014/12/01;546171229.00
2015/01/01;521650795.00
2015/02/01;725772622.00
2015/03/01;2806804356.00
2015/04/01;3095635772.00
2015/05/01;4337479469.00
2015/06/01;4484835044.00
2015/07/01;3933097327.00
2015/08/01;2615128620.00
2015/09/01;1967576227.00
2015/10/01;1625132460.00
2015/11/01;1060552033.00
2015/12/01;783396852.00
2016/01/01;621132777.00
2016/02/01;1034626171.00
2016/03/01;3474236142.00
2016/04/01;4040743924.00
2016/05/01;4390928601.00
2016/06/01;3662421342.00
2016/07/01;3043136135.00
2016/08/01;2170250532.00
2016/09/01;1080700326.00
2016/10/01;702875260.00
2016/11/01;490033034.00
2016/12/01;704000730.00
2017/01/01;961046995.00
2017/02/01;1709066843.00
2017/03/01;4057915874.00
2017/04/01;4552451983.00
2017/05/01;4721519768.00
2017/06/01;3958169390.00
2017/07/01;3051910676.00

