Data;Valor
2007/01/01;368435574.00
2007/02/01;192996043.00
2007/03/01;186681329.00
2007/04/01;148768682.00
2007/05/01;208848932.00
2007/06/01;309459664.00
2007/07/01;297076307.00
2007/08/01;299055181.00
2007/09/01;289520746.00
2007/10/01;319290919.00
2007/11/01;278833303.00
2007/12/01;230842656.00
2008/01/01;183114767.00
2008/02/01;186701135.00
2008/03/01;144615087.00
2008/04/01;154427281.00
2008/05/01;271708915.00
2008/06/01;348973847.00
2008/07/01;389517692.00
2008/08/01;353198334.00
2008/09/01;371067567.00
2008/10/01;416061862.00
2008/11/01;397334713.00
2008/12/01;432831737.00
2009/01/01;420554400.00
2009/02/01;276021896.00
2009/03/01;254306585.00
2009/04/01;289691773.00
2009/05/01;469788320.00
2009/06/01;504987733.00
2009/07/01;523241147.00
2009/08/01;497162289.00
2009/09/01;641783953.00
2009/10/01;630967281.00
2009/11/01;745474643.00
2009/12/01;724606339.00
2010/01/01;538091225.00
2010/02/01;448386268.00
2010/03/01;490706681.00
2010/04/01;477453993.00
2010/05/01;773448203.00
2010/06/01;834115733.00
2010/07/01;841141326.00
2010/08/01;899825887.00
2010/09/01;998794639.00
2010/10/01;975860282.00
2010/11/01;1201633828.00
2010/12/01;827392493.00
2011/01/01;500228707.00
2011/02/01;509719605.00
2011/03/01;620929318.00
2011/04/01;693965482.00
2011/05/01;767664625.00
2011/06/01;1003732092.00
2011/07/01;1272803043.00
2011/08/01;1508572448.00
2011/09/01;1334028563.00
2011/10/01;1191085691.00
2011/11/01;1268599952.00
2011/12/01;877456244.00
2012/01/01;561227534.00
2012/02/01;588136257.00
2012/03/01;352895526.00
2012/04/01;246055964.00
2012/05/01;757062726.00
2012/06/01;677508235.00
2012/07/01;1075746315.00
2012/08/01;1040022938.00
2012/09/01;1047086122.00
2012/10/01;1575256192.00
2012/11/01;1127057850.00
2012/12/01;982047408.00
2013/01/01;814721280.00
2013/02/01;575693445.00
2013/03/01;683414813.00
2013/04/01;575725410.00
2013/05/01;631133319.00
2013/06/01;764680447.00
2013/07/01;762885264.00
2013/08/01;1095100249.00
2013/09/01;870432604.00
2013/10/01;849940386.00
2013/11/01;742520815.00
2013/12/01;797453713.00
2014/01/01;704915646.00
2014/02/01;564555879.00
2014/03/01;418776319.00
2014/04/01;316123054.00
2014/05/01;468556372.00
2014/06/01;594458343.00
2014/07/01;804090523.00
2014/08/01;750189712.00
2014/09/01;703529945.00
2014/10/01;817991131.00
2014/11/01;654305946.00
2014/12/01;652599937.00
2015/01/01;614667449.00
2015/02/01;281344498.00
2015/03/01;618642487.00
2015/04/01;213160185.00
2015/05/01;437773294.00
2015/06/01;476770939.00
2015/07/01;596876251.00
2015/08/01;435841874.00
2015/09/01;416739325.00
2015/10/01;592596320.00
2015/11/01;580441644.00
2015/12/01;636261627.00
2016/01/01;318520634.00
2016/02/01;658113773.00
2016/03/01;486087524.00
2016/04/01;380131577.00
2016/05/01;538779036.00
2016/06/01;767075791.00
2016/07/01;863408640.00
2016/08/01;822152413.00
2016/09/01;1029517315.00
2016/10/01;717714813.00
2016/11/01;845239742.00
2016/12/01;855426932.00
2017/01/01;745398186.00
2017/02/01;646987081.00
2017/03/01;510969029.00
2017/04/01;494885463.00
2017/05/01;824218477.00
2017/06/01;1071934091.00
2017/07/01;842570770.00

