Data;Valor
2007/01/01;166796416.00
2007/02/01;154067124.00
2007/03/01;155039385.00
2007/04/01;184208482.00
2007/05/01;145626325.00
2007/06/01;132826738.00
2007/07/01;174537344.00
2007/08/01;243005181.00
2007/09/01;186928173.00
2007/10/01;170661429.00
2007/11/01;147140297.00
2007/12/01;109884051.00
2008/01/01;130067238.00
2008/02/01;139862405.00
2008/03/01;104403788.00
2008/04/01;119295788.00
2008/05/01;138528164.00
2008/06/01;156132219.00
2008/07/01;173984390.00
2008/08/01;167730248.00
2008/09/01;158417872.00
2008/10/01;227705757.00
2008/11/01;182898056.00
2008/12/01;134458202.00
2009/01/01;147829463.00
2009/02/01;163218441.00
2009/03/01;152625279.00
2009/04/01;115045683.00
2009/05/01;191434199.00
2009/06/01;200802774.00
2009/07/01;237960707.00
2009/08/01;223400588.00
2009/09/01;258018914.00
2009/10/01;228302327.00
2009/11/01;277106826.00
2009/12/01;203496571.00
2010/01/01;225131498.00
2010/02/01;214630913.00
2010/03/01;176313344.00
2010/04/01;177573575.00
2010/05/01;207925587.00
2010/06/01;265578624.00
2010/07/01;394477685.00
2010/08/01;469336913.00
2010/09/01;456826406.00
2010/10/01;372150469.00
2010/11/01;298765840.00
2010/12/01;196170084.00
2011/01/01;227397998.00
2011/02/01;225014509.00
2011/03/01;218282169.00
2011/04/01;117095086.00
2011/05/01;138852850.00
2011/06/01;397415333.00
2011/07/01;515783752.00
2011/08/01;438136261.00
2011/09/01;316268179.00
2011/10/01;288565634.00
2011/11/01;260100807.00
2011/12/01;249964421.00
2012/01/01;183822790.00
2012/02/01;208362123.00
2012/03/01;236461837.00
2012/04/01;73666410.00
2012/05/01;210008517.00
2012/06/01;204223052.00
2012/07/01;232556485.00
2012/08/01;229967111.00
2012/09/01;299310108.00
2012/10/01;417407637.00
2012/11/01;305935019.00
2012/12/01;213044838.00
2013/01/01;290685158.00
2013/02/01;292671084.00
2013/03/01;218599891.00
2013/04/01;199064515.00
2013/05/01;219501504.00
2013/06/01;193534718.00
2013/07/01;201470355.00
2013/08/01;274193151.00
2013/09/01;181774731.00
2013/10/01;243240992.00
2013/11/01;192256587.00
2013/12/01;171763342.00
2014/01/01;148991198.00
2014/02/01;137652707.00
2014/03/01;168706150.00
2014/04/01;167146189.00
2014/05/01;117217299.00
2014/06/01;160370416.00
2014/07/01;191722436.00
2014/08/01;194326870.00
2014/09/01;189378013.00
2014/10/01;250759063.00
2014/11/01;114611759.00
2014/12/01;168231844.00
2015/01/01;221977240.00
2015/02/01;99194129.00
2015/03/01;145285371.00
2015/04/01;95206829.00
2015/05/01;179472746.00
2015/06/01;165541344.00
2015/07/01;131011235.00
2015/08/01;110641495.00
2015/09/01;119810194.00
2015/10/01;158682712.00
2015/11/01;116302429.00
2015/12/01;197239300.00
2016/01/01;114424989.00
2016/02/01;142278548.00
2016/03/01;141297556.00
2016/04/01;106290706.00
2016/05/01;132159593.00
2016/06/01;142839630.00
2016/07/01;199606355.00
2016/08/01;308017113.00
2016/09/01;220194076.00
2016/10/01;152239157.00
2016/11/01;243342784.00
2016/12/01;250985224.00
2017/01/01;209999069.00
2017/02/01;144136556.00
2017/03/01;224219865.00
2017/04/01;228983411.00
2017/05/01;212004742.00
2017/06/01;200868396.00
2017/07/01;198110322.00

