Valor;Data
2007/01/01;338987369.00
2007/02/01;351041931.00
2007/03/01;387528650.00
2007/04/01;345581549.00
2007/05/01;443867308.00
2007/06/01;349153476.00
2007/07/01;336229930.00
2007/08/01;382630028.00
2007/09/01;360139691.00
2007/10/01;410489826.00
2007/11/01;389485035.00
2007/12/01;329409299.00
2008/01/01;465378810.00
2008/02/01;341560039.00
2008/03/01;364290749.00
2008/04/01;411905081.00
2008/05/01;478073039.00
2008/06/01;442353626.00
2008/07/01;513691860.00
2008/08/01;533156510.00
2008/09/01;573881258.00
2008/10/01;549516847.00
2008/11/01;335727837.00
2008/12/01;315943873.00
2009/01/01;255689806.00
2009/02/01;271190543.00
2009/03/01;335966008.00
2009/04/01;343370235.00
2009/05/01;325062786.00
2009/06/01;383852718.00
2009/07/01;365425147.00
2009/08/01;344327886.00
2009/09/01;367760082.00
2009/10/01;378674294.00
2009/11/01;369319187.00
2009/12/01;377843336.00
2010/01/01;317836154.00
2010/02/01;347694966.00
2010/03/01;396157687.00
2010/04/01;388805953.00
2010/05/01;447042159.00
2010/06/01;455105636.00
2010/07/01;470177098.00
2010/08/01;461626669.00
2010/09/01;402929715.00
2010/10/01;419023821.00
2010/11/01;328028595.00
2010/12/01;360928537.00
2011/01/01;314291777.00
2011/02/01;413540537.00
2011/03/01;496664464.00
2011/04/01;437612752.00
2011/05/01;441163334.00
2011/06/01;480033742.00
2011/07/01;408524435.00
2011/08/01;456988819.00
2011/09/01;506020306.00
2011/10/01;487337824.00
2011/11/01;492934734.00
2011/12/01;413657297.00
2012/01/01;398637385.00
2012/02/01;363820335.00
2012/03/01;456398815.00
2012/04/01;441312078.00
2012/05/01;517469923.00
2012/06/01;453875452.00
2012/07/01;483639602.00
2012/08/01;525240493.00
2012/09/01;510735388.00
2012/10/01;599366545.00
2012/11/01;501696774.00
2012/12/01;491942058.00
2013/01/01;515053986.00
2013/02/01;449124764.00
2013/03/01;494832633.00
2013/04/01;549799776.00
2013/05/01;518470350.00
2013/06/01;487724501.00
2013/07/01;576234922.00
2013/08/01;586477664.00
2013/09/01;619436146.00
2013/10/01;657584973.00
2013/11/01;586714590.00
2013/12/01;618557062.00
2014/01/01;554747331.00
2014/02/01;611525458.00
2014/03/01;484959471.00
2014/04/01;533539389.00
2014/05/01;613266843.00
2014/06/01;581946191.00
2014/07/01;689614641.00
2014/08/01;639936948.00
2014/09/01;561526406.00
2014/10/01;685378598.00
2014/11/01;555983103.00
2014/12/01;636494762.00
2015/01/01;424995109.00
2015/02/01;430316740.00
2015/03/01;462695317.00
2015/04/01;445498905.00
2015/05/01;453422910.00
2015/06/01;484091997.00
2015/07/01;498123054.00
2015/08/01;497636768.00
2015/09/01;518040953.00
2015/10/01;539955747.00
2015/11/01;518266141.00
2015/12/01;522057064.00
2016/01/01;366992732.00
2016/02/01;475688835.00
2016/03/01;502875427.00
2016/04/01;420051385.00
2016/05/01;490652699.00
2016/06/01;469019804.00
2016/07/01;408377161.00
2016/08/01;448849889.00
2016/09/01;471605094.00
2016/10/01;435806946.00
2016/11/01;409358064.00
2016/12/01;439233561.00
2017/01/01;417520078.00
2017/02/01;394365262.00
2017/03/01;484669163.00
2017/04/01;361279172.00
2017/05/01;464891675.00
2017/06/01;507214890.00
2017/07/01;537861252.00

