Data;Valor
2007/01/01;2900092.00
2007/02/01;1795236.00
2007/03/01;2707396.00
2007/04/01;2541663.00
2007/05/01;2870141.00
2007/06/01;2058498.00
2007/07/01;1958591.00
2007/08/01;1413607.00
2007/09/01;1566965.00
2007/10/01;1788252.00
2007/11/01;2474719.00
2007/12/01;3270288.00
2008/01/01;2503014.00
2008/02/01;2279034.00
2008/03/01;3139345.00
2008/04/01;3658295.00
2008/05/01;3146662.00
2008/06/01;1621251.00
2008/07/01;2144922.00
2008/08/01;3166101.00
2008/09/01;2409407.00
2008/10/01;1927685.00
2008/11/01;2676083.00
2008/12/01;2886047.00
2009/01/01;3336113.00
2009/02/01;3200949.00
2009/03/01;3435354.00
2009/04/01;2836855.00
2009/05/01;2759780.00
2009/06/01;1912293.00
2009/07/01;2326431.00
2009/08/01;2704898.00
2009/09/01;2127572.00
2009/10/01;3508621.00
2009/11/01;4064954.00
2009/12/01;4056629.00
2010/01/01;3714039.00
2010/02/01;3598819.00
2010/03/01;3313309.00
2010/04/01;3420723.00
2010/05/01;2641585.00
2010/06/01;3006478.00
2010/07/01;2437587.00
2010/08/01;2329798.00
2010/09/01;3021240.00
2010/10/01;4318613.00
2010/11/01;4247060.00
2010/12/01;4306358.00
2011/01/01;3762785.00
2011/02/01;3298224.00
2011/03/01;2893866.00
2011/04/01;2830081.00
2011/05/01;3341543.00
2011/06/01;2786656.00
2011/07/01;4002203.00
2011/08/01;3984504.00
2011/09/01;4753675.00
2011/10/01;5984363.00
2011/11/01;5009015.00
2011/12/01;5616013.00
2012/01/01;3740425.00
2012/02/01;5727076.00
2012/03/01;3414340.00
2012/04/01;4077202.00
2012/05/01;3935706.00
2012/06/01;4195706.00
2012/07/01;3579609.00
2012/08/01;4820835.00
2012/09/01;5308611.00
2012/10/01;6058214.00
2012/11/01;6462183.00
2012/12/01;7927848.00
2013/01/01;7725415.00
2013/02/01;6932208.00
2013/03/01;5146903.00
2013/04/01;5098013.00
2013/05/01;4105304.00
2013/06/01;3435347.00
2013/07/01;3474474.00
2013/08/01;3410910.00
2013/09/01;4080260.00
2013/10/01;7920306.00
2013/11/01;6049170.00
2013/12/01;9169321.00
2014/01/01;6489960.00
2014/02/01;6138349.00
2014/03/01;6340203.00
2014/04/01;7538966.00
2014/05/01;7415509.00
2014/06/01;4443216.00
2014/07/01;5191437.00
2014/08/01;6719595.00
2014/09/01;8797071.00
2014/10/01;10642887.00
2014/11/01;9949251.00
2014/12/01;9366136.00
2015/01/01;8533475.00
2015/02/01;7095846.00
2015/03/01;8175903.00
2015/04/01;9174839.00
2015/05/01;6824346.00
2015/06/01;4312921.00
2015/07/01;5436084.00
2015/08/01;7110060.00
2015/09/01;8911800.00
2015/10/01;8646399.00
2015/11/01;8390876.00
2015/12/01;6922176.00
2016/01/01;4559983.00
2016/02/01;7522645.00
2016/03/01;9131106.00
2016/04/01;3756149.00
2016/05/01;4266836.00
2016/06/01;6187245.00
2016/07/01;5209723.00
2016/08/01;5909521.00
2016/09/01;6176883.00
2016/10/01;8103442.00
2016/11/01;6944041.00
2016/12/01;10272036.00
2017/01/01;5793768.00
2017/02/01;10662251.00
2017/03/01;15992161.00
2017/04/01;11711206.00
2017/05/01;8315807.00
2017/06/01;2923870.00
2017/07/01;5767626.00

