Data;Valor
Descrição	Colheitadeiras
2007/01/01	15.075.186,00
2007/02/01	31.737.875,00
2007/03/01	30.275.624,00
2007/04/01	30.423.620,00
2007/05/01	11.869.297,00
2007/06/01	13.138.376,00
2007/07/01	19.302.899,00
2007/08/01	32.263.950,00
2007/09/01	30.632.438,00
2007/10/01	34.463.131,00
2007/11/01	39.101.605,00
2007/12/01	48.308.034,00
2008/01/01	36.232.981,00
2008/02/01	41.946.249,00
2008/03/01	49.735.240,00
2008/04/01	44.425.304,00
2008/05/01	33.276.786,00
2008/06/01	24.714.395,00
2008/07/01	30.054.641,00
2008/08/01	52.263.757,00
2008/09/01	42.492.396,00
2008/10/01	30.573.043,00
2008/11/01	28.922.422,00
2008/12/01	50.761.471,00
2009/01/01	15.273.044,00
2009/02/01	23.646.664,00
2009/03/01	20.309.013,00
2009/04/01	18.817.216,00
2009/05/01	3.230.133,00
2009/06/01	8.387.393,00
2009/07/01	11.273.600,00
2009/08/01	10.408.772,00
2009/09/01	24.018.512,00
2009/10/01	15.637.810,00
2009/11/01	14.453.658,00
2009/12/01	10.096.590,00
2010/01/01	12.386.235,00
2010/02/01	27.428.739,00
2010/03/01	35.959.086,00
2010/04/01	31.869.776,00
2010/05/01	17.368.149,00
2010/06/01	11.577.321,00
2010/07/01	17.609.200,00
2010/08/01	30.584.465,00
2010/09/01	29.580.450,00
2010/10/01	47.835.471,00
2010/11/01	40.357.599,00
2010/12/01	48.115.171,00
2011/01/01	42.484.830,00
2011/02/01	34.985.679,00
2011/03/01	40.122.543,00
2011/04/01	27.573.956,00
2011/05/01	20.393.411,00
2011/06/01	26.393.136,00
2011/07/01	40.612.320,00
2011/08/01	32.306.348,00
2011/09/01	27.553.371,00
2011/10/01	39.520.496,00
2011/11/01	36.210.814,00
2011/12/01	45.093.585,00
2012/01/01	57.276.767,00
2012/02/01	36.100.515,00
2012/03/01	21.764.933,00
2012/04/01	17.105.415,00
2012/05/01	11.454.597,00
2012/06/01	15.097.287,00
2012/07/01	24.684.565,00
2012/08/01	26.428.934,00
2012/09/01	17.930.480,00
2012/10/01	26.756.388,00
2012/11/01	24.007.896,00
2012/12/01	24.568.431,00
2013/01/01	19.687.088,00
2013/02/01	20.705.845,00
2013/03/01	24.016.720,00
2013/04/01	25.262.190,00
2013/05/01	14.384.350,00
2013/06/01	13.295.079,00
2013/07/01	25.180.751,00
2013/08/01	22.030.407,00
2013/09/01	27.065.188,00
2013/10/01	29.621.330,00
2013/11/01	20.006.243,00
2013/12/01	18.373.788,00
2014/01/01	23.715.561,00
2014/02/01	23.054.357,00
2014/03/01	19.435.487,00
2014/04/01	19.251.860,00
2014/05/01	11.333.797,00
2014/06/01	9.352.295,00
2014/07/01	19.302.190,00
2014/08/01	18.372.968,00
2014/09/01	14.059.483,00
2014/10/01	18.495.560,00
2014/11/01	17.517.876,00
2014/12/01	49.964.421,00
2015/01/01	21.419.764,00
2015/02/01	10.094.715,00
2015/03/01	10.251.893,00
2015/04/01	7.925.704,00
2015/05/01	6.151.799,00
2015/06/01	4.958.110,00
2015/07/01	10.032.732,00
2015/08/01	10.150.214,00
2015/09/01	25.334.530,00
2015/10/01	9.634.923,00
2015/11/01	10.970.378,00
2015/12/01	14.435.357,00
2016/01/01	6.780.524,00
2016/02/01	8.551.966,00
2016/03/01	10.213.175,00
2016/04/01	4.926.062,00
2016/05/01	12.004.477,00
2016/06/01	21.237.208,00
2016/07/01	8.578.137,00
2016/08/01	12.024.133,00
2016/09/01	11.019.694,00
2016/10/01	8.973.292,00
2016/11/01	8.348.996,00
2016/12/01	13.630.527,00
2017/01/01	3.914.258,00
2017/02/01	18.485.563,00
2017/03/01	28.852.693,00
2017/04/01	24.729.326,00
2017/05/01	14.838.720,00
2017/06/01	19.043.875,00
2017/07/01	16.787.948,00
