Data;Valor
1994/07/01;76.71
1994/08/01;76.8
1994/09/01;76.59
1994/10/01;76.55
1994/11/01;78.35
1994/12/01;82.61
1995/01/01;82.64
1995/02/01;83.3
1995/03/01;87.66
1995/04/01;90.58
1995/05/01;90.92
1995/06/01;112.61
1995/07/01;113.53
1995/08/01;114.76
1995/09/01;113.69
1995/10/01;113.82
1995/11/01;114.94
1995/12/01;118.6
1996/01/01;119.45
1996/02/01;118.71
1996/03/01;119.18
1996/04/01;121.75
1996/05/01;122.27
1996/06/01;130.52
1996/07/01;131.25
1996/08/01;131
1996/09/01;131.94
1996/10/01;132.02
1996/11/01;132.07
1996/12/01;134.22
1997/01/01;134.36
1997/02/01;134.93
1997/03/01;134.87
1997/04/01;136.74
1997/05/01;137.05
1997/06/01;143.75
1997/07/01;143.91
1997/08/01;144.24
1997/09/01;144.1
1997/10/01;143.96
1997/11/01;144.94
1997/12/01;144.87
1998/01/01;144.23
1998/02/01;143.93
1998/03/01;145.95
1998/04/01;145.55
1998/05/01;148.58
1998/06/01;148.6
1998/07/01;148.63
1998/08/01;148.93
1998/09/01;148.94
1998/10/01;148.98
1998/11/01;148.93
1998/12/01;150.43
1999/01/01;143.22
1999/02/01;143.88
1999/03/01;143.94
1999/04/01;143.94
1999/05/01;147.32
1999/06/01;150.92
1999/07/01;151.06
1999/08/01;151.24
1999/09/01;152.23
1999/10/01;152.62
1999/11/01;152.57
1999/12/01;152.48
2000/01/01;155.39
2000/02/01;154.6
2000/03/01;154.86
2000/04/01;156.44
2000/05/01;156.44
2000/06/01;160.31
2000/07/01;161.55
2000/08/01;161.75
2000/09/01;162.41
2000/10/01;162.41
2000/11/01;162.33
2000/12/01;162.11
2001/01/01;164.01
2001/02/01;163.55
2001/03/01;163.55
2001/04/01;163.56
2001/05/01;163.56
2001/06/01;169.16
2001/07/01;170.75
2001/08/01;170.75
2001/09/01;170.89
2001/10/01;170.95
2001/11/01;170.96
2001/12/01;173.66
2002/01/01;173.8
2002/02/01;173.8
2002/03/01;176.35
2002/04/01;176.48
2002/05/01;182.8
2002/06/01;187.63
2002/07/01;187.11
2002/08/01;185.89
2002/09/01;185.86
2002/10/01;185.68
2002/11/01;185.65
2002/12/01;189.24
2003/01/01;189.34
2003/02/01;189.34
2003/03/01;189.38
2003/04/01;192.71
2003/05/01;205.08
2003/06/01;209.35
2003/07/01;209.75
2003/08/01;217.62
2003/09/01;218.32
2003/10/01;218.46
2003/11/01;224.26
2003/12/01;224.42
2004/01/01;223.94
2004/02/01;224.77
2004/03/01;228.39
2004/04/01;228.51
2004/05/01;233.94
2004/06/01;236
2004/07/01;236.25
2004/08/01;236.3
2004/09/01;236.39
2004/10/01;236.28
2004/11/01;235.98
2004/12/01;239.32
2005/01/01;239.43
2005/02/01;239.45
2005/03/01;239.54
2005/04/01;243.1
2005/05/01;251.84
2005/06/01;254.14
2005/07/01;254.3
2005/08/01;254.28
2005/09/01;254.28
2005/10/01;254.3
2005/11/01;254.41
2005/12/01;257.89
2006/01/01;257.91
2006/02/01;257.91
2006/03/01;257.91
2006/04/01;261.29
2006/05/01;270.09
2006/06/01;271.39
2006/07/01;272
2006/08/01;271.4
2006/09/01;272.04
2006/10/01;272
2006/11/01;272
2006/12/01;274.94
2007/01/01;274.95
2007/02/01;275.73
2007/03/01;278.48
2007/04/01;278.48
2007/05/01;286.61
2007/06/01;287.91
2007/07/01;287.74
2007/08/01;287.65
2007/09/01;287.75
2007/10/01;287.75
2007/11/01;287.79
2007/12/01;292.84
2008/01/01;292.78
2008/02/01;292.77
2008/03/01;297.01
2008/04/01;297.03
2008/05/01;312.5
2008/06/01;312.65
2008/07/01;313.55
2008/08/01;313.95
2008/09/01;315.66
2008/10/01;315.68
2008/11/01;315.84
2008/12/01;318.71
2009/01/01;318.99
2009/02/01;318.8
2009/03/01;323.16
2009/04/01;323.75
2009/05/01;338.59
2009/06/01;338.88
2009/07/01;338.92
2009/08/01;338.92
2009/09/01;338.92
2009/10/01;338.92
2009/11/01;338.92
2009/12/01;343.44
2010/01/01;343.48
2010/02/01;343.49
2010/03/01;347.74
2010/04/01;347.94
2010/05/01;363.95
2010/06/01;367.19
2010/07/01;367.35
2010/08/01;368.12
2010/09/01;368.12
2010/10/01;368.12
2010/11/01;375.47
2010/12/01;375.47
2011/01/01;372.5
2011/02/01;372.5
2011/03/01;380.41
2011/04/01;380.41
2011/05/01;394.92
2011/06/01;396.9
2011/07/01;396.9
2011/08/01;396.45
2011/09/01;398.45
2011/10/01;398.59
2011/11/01;398.64
2011/12/01;398.61
2012/01/01;411.29
2012/02/01;410.94
