Data;Valor
1991/01/01;6.82
1991/02/01;7.31
1991/03/01;6.76
1991/04/01;6.66
1991/05/01;5.99
1991/06/01;5.81
1991/07/01;6.21
1991/08/01;6.37
1991/09/01;6.33
1991/10/01;6.6
1991/11/01;6.85
1991/12/01;6.75
1992/01/01;6.85
1992/02/01;6.91
1992/03/01;6.83
1992/04/01;7.31
1992/05/01;6.56
1992/06/01;6.13
1992/07/01;6.5
1992/08/01;6.77
1992/09/01;6.8
1992/10/01;7.1
1992/11/01;7.11
1992/12/01;7.26
1993/01/01;6.89
1993/02/01;6.78
1993/03/01;6.19
1993/04/01;5.79
1993/05/01;5.93
1993/06/01;5.83
1993/07/01;6.24
1993/08/01;6.2
1993/09/01;6.25
1993/10/01;6.6
1993/11/01;6.88
1993/12/01;7.08
1994/01/01;7.43
1994/02/01;7.76
1994/03/01;7.47
1994/04/01;7.22
1994/05/01;7.14
1994/06/01;6.86
1994/07/01;6.97
1994/08/01;6.96
1994/09/01;6.58
1994/10/01;6.27
1994/11/01;6.53
1994/12/01;6.46
1995/01/01;6.51
1995/02/01;6.45
1995/03/01;6.64
1995/04/01;6.34
1995/05/01;6.44
1995/06/01;6.27
1995/07/01;6.43
1995/08/01;6.66
1995/09/01;6.81
1995/10/01;6.5
1995/11/01;6.76
1995/12/01;6.71
1996/01/01;6.54
1996/02/01;6.45
1996/03/01;6.21
1996/04/01;6.91
1996/05/01;6.58
1996/06/01;6.76
1996/07/01;7
1996/08/01;6.75
1996/09/01;6.83
1996/10/01;7.09
1996/11/01;6.93
1996/12/01;7.06
1997/01/01;6.99
1997/02/01;6.8
1997/03/01;6.61
1997/04/01;6.77
1997/05/01;6.48
1997/06/01;6.62
1997/07/01;6.41
1997/08/01;6.5
1997/09/01;6.85
1997/10/01;6.92
1997/11/01;7.3
1997/12/01;7.33
1998/01/01;6.45
1998/02/01;6.63
1998/03/01;6.31
1998/04/01;6.99
1998/05/01;7.08
1998/06/01;7.19
1998/07/01;7.24
1998/08/01;7.03
1998/09/01;6.62
1998/10/01;6.56
1998/11/01;6.67
1998/12/01;6.94
1999/01/01;6.65
1999/02/01;6.83
1999/03/01;6.79
1999/04/01;6.74
1999/05/01;6.48
1999/06/01;6.94
1999/07/01;6.83
1999/08/01;6.68
1999/09/01;6.58
1999/10/01;6.89
1999/11/01;6.68
1999/12/01;6.21
2000/01/01;6.11
2000/02/01;6.04
2000/03/01;6.46
2000/04/01;6.83
2000/05/01;6.84
2000/06/01;6.83
2000/07/01;6.38
2000/08/01;6.71
2000/09/01;6.57
2000/10/01;6.27
2000/11/01;6.35
2000/12/01;6.29
2001/01/01;6.01
2001/02/01;5.9
2001/03/01;5.76
2001/04/01;6.04
2001/05/01;6.06
2001/06/01;6.42
2001/07/01;6
2001/08/01;6.03
2001/09/01;6.33
2001/10/01;6.07
2001/11/01;6.39
2001/12/01;5.83
2002/01/01;5.24
2002/02/01;5.11
2002/03/01;5.4
2002/04/01;5.24
2002/05/01;5.33
2002/06/01;5.1
2002/07/01;5.19
2002/08/01;5.47
2002/09/01;5.24
2002/10/01;5.33
2002/11/01;5.04
2002/12/01;5.06

