Data;Valor
1991/01/01;30.95
1991/02/01;29.47
1991/03/01;29.46
1991/04/01;29.45
1991/05/01;30.15
1991/06/01;30.66
1991/07/01;30.96
1991/08/01;31.34
1991/09/01;30.91
1991/10/01;30.07
1991/11/01;29.39
1991/12/01;29.52
1992/01/01;29.09
1992/02/01;28.81
1992/03/01;28.07
1992/04/01;27.73
1992/05/01;27.52
1992/06/01;27.35
1992/07/01;27.81
1992/08/01;27.31
1992/09/01;27.43
1992/10/01;27
1992/11/01;26.33
1992/12/01;26.05
1993/01/01;27.39
1993/02/01;27.14
1993/03/01;27.66
1993/04/01;27.89
1993/05/01;26.75
1993/06/01;27.13
1993/07/01;27.47
1993/08/01;27.52
1993/09/01;27.24
1993/10/01;26.28
1993/11/01;26.53
1993/12/01;26.86
1994/01/01;26.7
1994/02/01;26.19
1994/03/01;26
1994/04/01;27.09
1994/05/01;27.14
1994/06/01;26.79
1994/07/01;26.63
1994/08/01;25.91
1994/09/01;26.45
1994/10/01;26.55
1994/11/01;26.74
1994/12/01;27.03
1995/01/01;27.39
1995/02/01;27.72
1995/03/01;27.48
1995/04/01;27.15
1995/05/01;26.84
1995/06/01;26.29
1995/07/01;26.35
1995/08/01;25.79
1995/09/01;25.41
1995/10/01;25.39
1995/11/01;25.09
1995/12/01;24.62
1996/01/01;24.34
1996/02/01;24.07
1996/03/01;24.35
1996/04/01;24.19
1996/05/01;24.09
1996/06/01;23.99
1996/07/01;23.53
1996/08/01;23.94
1996/09/01;23.89
1996/10/01;24.22
1996/11/01;23.77
1996/12/01;23.27
1997/01/01;23.1
1997/02/01;22.76
1997/03/01;23.06
1997/04/01;23.23
1997/05/01;23.2
1997/06/01;22.9
1997/07/01;23.06
1997/08/01;22.34
1997/09/01;22.59
1997/10/01;23.1
1997/11/01;22.51
1997/12/01;21.77
1998/01/01;22.16
1998/02/01;22.27
1998/03/01;22.9
1998/04/01;22.64
1998/05/01;22.62
1998/06/01;21.82
1998/07/01;21.22
1998/08/01;21.02
1998/09/01;21.06
1998/10/01;21.15
1998/11/01;21.03
1998/12/01;21.08
1999/01/01;21
1999/02/01;20.76
1999/03/01;21.13
1999/04/01;21.31
1999/05/01;21.59
1999/06/01;21.08
1999/07/01;20.51
1999/08/01;20.61
1999/09/01;20.78
1999/10/01;20.39
1999/11/01;20.78
1999/12/01;20.93
2000/01/01;20.44
2000/02/01;20.23
2000/03/01;20.72
2000/04/01;21.11
2000/05/01;20.25
2000/06/01;20.25
2000/07/01;19.99
2000/08/01;20.32
2000/09/01;20.02
2000/10/01;20.52
2000/11/01;20.98
2000/12/01;20.01
2001/01/01;20.76
2001/02/01;20.97
2001/03/01;20.82
2001/04/01;21.43
2001/05/01;20.94
2001/06/01;20.54
2001/07/01;20.53
2001/08/01;20.73
2001/09/01;20.56
2001/10/01;20.73
2001/11/01;20.05
2001/12/01;20.04
2002/01/01;20.2
2002/02/01;20.16
2002/03/01;20.35
2002/04/01;21.44
2002/05/01;20.87
2002/06/01;20.86
2002/07/01;20.69
2002/08/01;20.62
2002/09/01;20.29
2002/10/01;20.06
2002/11/01;20.11
2002/12/01;20.16

