Data;Valor
2000/01/01;49.2
2000/02/01;57.6
2000/03/01;55.6
2000/04/01;52.2
2000/05/01;58.3
2000/06/01;53.4
2000/07/01;58.6
2000/08/01;63.1
2000/09/01;55.5
2000/10/01;60.5
2000/11/01;60.2
2000/12/01;58.7
2001/01/01;60
2001/02/01;52.3
2001/03/01;66.7
2001/04/01;58.5
2001/05/01;58.7
2001/06/01;53.2
2001/07/01;57.5
2001/08/01;54.6
2001/09/01;45.9
2001/10/01;53.4
2001/11/01;50.2
2001/12/01;47.4
2002/01/01;48.1
2002/02/01;41
2002/03/01;48
2002/04/01;51.4
2002/05/01;45.2
2002/06/01;40.1
2002/07/01;46
2002/08/01;46.6
2002/09/01;46.4
2002/10/01;48.1
2002/11/01;42.8
2002/12/01;42.7
2003/01/01;41.7
2003/02/01;42.7
2003/03/01;38.9
2003/04/01;40.5
2003/05/01;39.8
2003/06/01;38.3
2003/07/01;41
2003/08/01;39
2003/09/01;44.5
2003/10/01;46.3
2003/11/01;45.4
2003/12/01;49
2004/01/01;45.2
2004/02/01;42.4
2004/03/01;51.5
2004/04/01;45.7
2004/05/01;48.1
2004/06/01;49.4
2004/07/01;50
2004/08/01;51.5
2004/09/01;51.4
2004/10/01;50.8
2004/11/01;53.2
2004/12/01;58.1
2005/01/01;50.3
2005/02/01;42
2005/03/01;51.8
2005/04/01;48
2005/05/01;48.9
2005/06/01;49.6
2005/07/01;47.7
2005/08/01;54.3
2005/09/01;50.2
2005/10/01;50.5
2005/11/01;54.7
2005/12/01;58.5
2006/01/01;50.3
2006/02/01;42.3
2006/03/01;55
2006/04/01;45.5
2006/05/01;55.1
2006/06/01;47.7
2006/07/01;55.2
2006/08/01;59.8
2006/09/01;55.2
2006/10/01;59.6
2006/11/01;61.4
2006/12/01;63.3
2007/01/01;57.5
2007/02/01;50.7
2007/03/01;65
2007/04/01;61
2007/05/01;66.3
2007/06/01;63.2
2007/07/01;67.7
2007/08/01;75.4
2007/09/01;66.4
2007/10/01;77.5
2007/11/01;74.9
2007/12/01;71.9
2008/01/01;69.5
2008/02/01;66.2
2008/03/01;74.6
2008/04/01;78.9
2008/05/01;75.7
2008/06/01;80
2008/07/01;84.5
2008/08/01;77.2
2008/09/01;85.5
2008/10/01;71.8
2008/11/01;59.7
2008/12/01;68.6
2009/01/01;69.3
2009/02/01;66.1
2009/03/01;87.4
2009/04/01;69.9
2009/05/01;79.1
2009/06/01;96.7
2009/07/01;80.3
2009/08/01;84.4
2009/09/01;101.6
2009/10/01;86.1
2009/11/01;81.9
2009/12/01;88
2010/01/01;76.5
2010/02/01;76.7
2010/03/01;116
2010/04/01;81.9
2010/05/01;84.3
2010/06/01;87.6
2010/07/01;92.3
2010/08/01;100.6
2010/09/01;97.5
2010/10/01;99.6
2010/11/01;106.7
2010/12/01;110.9
2011/01/01;89
2011/02/01;96.4
2011/03/01;100.8
2011/04/01;94.7
2011/05/01;106.3
2011/06/01;98.6
2011/07/01;99.2
2011/08/01;104.4
2011/09/01;101
2011/10/01;95.7
2011/11/01;103.8
2011/12/01;110.1
2012/01/01;96
2012/02/01;86.7
2012/03/01;106.5
2012/04/01;90.3
2012/05/01;105.5
2012/06/01;119
2012/07/01;115.5
2012/08/01;131.9
2012/09/01;91.4
2012/10/01;118.8
2012/11/01;108.6
2012/12/01;117.6
2013/01/01;103.7
2013/02/01;89.5
2013/03/01;108
2013/04/01;110.6
2013/05/01;109.8
2013/06/01;107.8
2013/07/01;113.4
2013/08/01;115.1
2013/09/01;104.1
2013/10/01;113.6
2013/11/01;113.4
2013/12/01;117.6
2014/01/01;105.4
2014/02/01;93.8
2014/03/01;90.8
2014/04/01;99.5
2014/05/01;102.5
2014/06/01;87.6
2014/07/01;99.2
2014/08/01;95.1
2014/09/01;99.3
2014/10/01;100.9
2014/11/01;102.6
2014/12/01;107.5
2015/01/01;88.2
2015/02/01;71.5
2015/03/01;87.4
2015/04/01;80.3
2015/05/01;79.8
2015/06/01;81.6
2015/07/01;86
2015/08/01;80.3
2015/09/01;77.8
2015/10/01;76.8
2015/11/01;77.6
2015/12/01;86
2016/01/01;69.4
2016/02/01;66.7
2016/03/01;77.7
2016/04/01;69.3
2016/05/01;69.3
2016/06/01;69.2

