Data;Valor
2017/01/01;5
2017/02/01;10
2017/03/01;15
2017/04/01;20
2017/05/01;15
2017/06/01;20
2017/07/01;25
2017/08/01;30
2017/09/01;25
2017/10/01;30
2017/11/01;35
2017/12/01;40
2018/01/01;35
2018/02/01;40
2018/03/01;45
2018/04/01;50
2018/05/01;45
2018/06/01;50
2018/07/01;55
2018/08/01;60
2018/09/01;55
2018/10/01;60
2018/11/01;65
2018/12/01;70
2019/01/01;65
2019/02/01;70
2019/03/01;75
2019/04/01;80
2019/05/01;75
2019/06/01;80
2019/07/01;85
2019/08/01;90
2019/09/01;85
2019/10/01;90
2019/11/01;95
2019/12/01;100
2020/01/01;95
2020/02/01;100
2020/03/01;105
2020/04/01;110

