Data;Valor
2017/01/01;5
2017/02/01;20
2017/03/01;35
2017/04/01;35
2017/05/01;20
2017/06/01;5
2017/07/01;20
2017/08/01;35
2017/09/01;35
2017/10/01;20
2017/11/01;5
2017/12/01;20
2018/01/01;35
2018/02/01;35
2018/03/01;20
2018/04/01;5
2018/05/01;20
2018/06/01;35
2018/07/01;35
2018/08/01;20
2018/09/01;5
2018/10/01;20
2018/11/01;35
2018/12/01;35
2019/01/01;20
2019/02/01;5
2019/03/01;20
2019/04/01;35
2019/05/01;35
2019/06/01;20
2019/07/01;5
2019/08/01;20
2019/09/01;35
2019/10/01;35
2019/11/01;20
2019/12/01;5
2020/01/01;5
2020/02/01;20
2020/03/01;35
2020/04/01;35
2020/05/01;20
2020/06/01;5

